id retweet_count favorite_count
822489057087389700 6894 19107
822462944365645825 15753 29907
822244816520155136 10597 36850
822163064745328640 5167 0
821886076407029760 2520 11932
821813639212650496 3602 0
821765923262631936 1791 8863
821522889702862852 1914 8451
821421320206483457 6034 0
821407182352777218 4681 12403
821153421864615936 10 267
821149554670182400 2174 9162
821107785811234820 2297 10096
821044531881721856 2470 13331
820837357901512704 7230 0
820749716845686786 10681 33217
820690176645140481 3471 12847
820494788566847489 609 0
820446719150292993 2784 0
820314633777061888 609 3511
820078625395449857 6783 20880
820013781606658049 1277 0
819952236453363712 1277 5607
819924195358416896 5216 13563
819711362133872643 3376 14188
819588359383371776 2125 10104
819347104292290561 1301 7610
819238181065359361 437 2411
819227688460238848 7230 24320
819015337530290176 39703 0
819015331746349057 20455 0
819006400881917954 20455 47640
819004803107983360 39703 91384
818646164899774465 22531 0
818627210458333184 8059 23410
818614493328580609 2785 10392
818588835076603904 6638 0
818536468981415936 2675 11512
818307523543449600 8781 0
818259473185828864 2470 11625
818145370475810820 2802 12957
817908911860748288 852 5114
817827839487737858 29377 54628
817777686764523521 2892 11305
817536400337801217 3285 12442
817502432452313088 3667 0
817423860136083457 16141 36021
817415592588222464 1041 5917
817181837579653120 9177 0
817171292965273600 2178 9223
817120970343411712 2831 12864
817056546584727552 1781 9055
816829038950027264 5095 0
816816676327063552 2190 10582
816697700272001025 2384 10352
816450570814898180 8781 32239
816336735214911488 2115 9087
816091915477250048 2335 9444
816062466425819140 1127 0
816014286006976512 5742 0
815990720817401858 1127 5276
815966073409433600 9177 23674
815745968457060357 4471 0
815736392542261248 2459 10408
815639385530101762 1777 8681
815390420867969024 4119 10951
814986499976527872 1389 8084
814638523311648768 2933 11908
814578408554463233 6274 0
814530161257443328 2009 9148
814153002265309185 9400 30431
813944609378369540 3457 0
813910438903693312 2032 9836
813812741911748608 15181 38491
813800681631023104 1903 8829
813217897535406080 7913 19751
813202720496779264 1952 9724
813187593374461952 4723 20993
813172488309972993 2074 9868
813157409116065792 2406 8209
813142292504645637 2553 8935
813130366689148928 481 4727
813127251579564032 3389 12552
813112105746448384 2982 10932
813096984823349248 3896 11157
813081950185472002 2999 10457
813066809284972545 2101 8432
813051746834595840 7947 22180
812781120811126785 2073 8041
812709060537683968 1545 7009
812503143955202048 1323 6430
812466873996607488 2093 8455
812372279581671427 3978 14490
811985624773361665 1523 7686
811744202451197953 1737 7989
811647686436880384 804 5918
811627233043480576 3380 13533
811386762094317568 6922 22144
810984652412424192 1556 5647
810896069567610880 1936 9592
810657578271330305 2870 11632
810284430598270976 12357 37473
810254108431155201 3634 15552
809920764300447744 4237 16412
809808892968534016 5306 0
809448704142938112 1590 7347
809220051211603969 6091 21125
809084759137812480 3806 14019
808838249661788160 3303 10718
808733504066486276 2351 8386
808501579447930884 2815 11954
808344865868283904 22531 45047
808134635716833280 6441 0
808106460588765185 2380 9281
808001312164028416 3843 13321
807621403335917568 3983 15436
807106840509214720 60371 125780
807059379405148160 7940 0
807010152071229440 4157 13828
806629075125202948 37789 79566
806620845233815552 6001 0
806576416489959424 2087 5153
806542213899489280 2562 10831
806242860592926720 12666 0
806219024703037440 1292 6818
805958939288408065 5843 0
805932879469572096 2075 8775
805826884734976000 1987 6981
805823200554876929 8728 0
805520635690676224 1789 6097
805487436403003392 2750 9301
805207613751304193 1847 8273
804738756058218496 4173 14560
804475857670639616 2185 6508
804413760345620481 3501 0
804026241225523202 17638 47285
803773340896923648 3006 10664
803692223237865472 8067 0
803638050916102144 4479 11644
803380650405482500 2014 8231
803321560782307329 5760 0
803276597545603072 2670 10644
802952499103731712 2182 9585
802624713319034886 3172 0
802600418706604034 1599 7547
802572683846291456 2712 9493
802323869084381190 6333 17225
802265048156610565 1483 7016
802239329049477120 2837 9624
802185808107208704 286 0
801958328846974976 1854 8185
801854953262350336 254 1872
801538201127157760 2226 8711
801285448605831168 903 6422
801167903437357056 6441 26021
801127390143516673 4294 0
801115127852503040 2269 8575
800859414831898624 103 733
800855607700029440 1772 0
800751577355128832 3008 11155
800513324630806528 3275 13954
800459316964663297 2342 10055
800443802682937345 4681 0
800388270626521089 3053 11831
800188575492947969 4292 0
800141422401830912 2784 16264
800018252395122689 14304 30136
799774291445383169 5082 0
799757965289017345 2351 8916
799422933579902976 2079 8549
799308762079035393 5989 0
799297110730567681 3004 10516
799063482566066176 2678 8567
798933969379225600 4859 13952
798925684722855936 1551 7910
798705661114773508 7164 0
798701998996647937 8465 0
798697898615730177 7062 0
798694562394996736 5380 0
798686750113755136 2515 0
798682547630837760 5121 0
798673117451325440 6020 0
798665375516884993 4237 0
